route_id,bus_id,timestamp,crowd_density
1,1,2025-02-01 00:00:00,88
1,1,2025-02-01 00:15:00,107
1,1,2025-02-01 00:30:00,107
1,1,2025-02-01 00:45:00,118
1,1,2025-02-01 01:00:00,135
1,1,2025-02-01 01:15:00,80
1,1,2025-02-01 01:30:00,92
1,1,2025-02-01 01:45:00,112
1,1,2025-02-01 02:00:00,70
1,1,2025-02-01 02:15:00,100
1,1,2025-02-01 02:30:00,88
1,1,2025-02-01 02:45:00,105
1,1,2025-02-01 03:00:00,128
1,1,2025-02-01 03:15:00,78
1,1,2025-02-01 03:30:00,120
1,1,2025-02-01 03:45:00,106
1,1,2025-02-01 04:00:00,131
1,1,2025-02-01 04:15:00,102
1,1,2025-02-01 04:30:00,116
1,1,2025-02-01 04:45:00,99
1,1,2025-02-01 05:00:00,139
1,1,2025-02-01 05:15:00,98
1,1,2025-02-01 05:30:00,86
1,1,2025-02-01 05:45:00,80
1,1,2025-02-01 06:00:00,57
1,1,2025-02-01 06:15:00,117
1,1,2025-02-01 06:30:00,69
1,1,2025-02-01 06:45:00,71
1,1,2025-02-01 07:00:00,122
1,1,2025-02-01 07:15:00,131
1,1,2025-02-01 07:30:00,86
1,1,2025-02-01 07:45:00,50
1,1,2025-02-01 08:00:00,62
1,1,2025-02-01 08:15:00,85
1,1,2025-02-01 08:30:00,69
1,1,2025-02-01 08:45:00,75
1,1,2025-02-01 09:00:00,109
1,1,2025-02-01 09:15:00,128
1,1,2025-02-01 09:30:00,71
1,1,2025-02-01 09:45:00,132
1,1,2025-02-01 10:00:00,68
1,1,2025-02-01 10:15:00,68
1,1,2025-02-01 10:30:00,90
1,1,2025-02-01 10:45:00,51
1,1,2025-02-01 11:00:00,107
1,1,2025-02-01 11:15:00,125
1,1,2025-02-01 11:30:00,84
1,1,2025-02-01 11:45:00,125
1,1,2025-02-01 12:00:00,109
1,1,2025-02-01 12:15:00,56
1,1,2025-02-01 12:30:00,77
1,1,2025-02-01 12:45:00,118
1,1,2025-02-01 13:00:00,75
1,1,2025-02-01 13:15:00,105
1,1,2025-02-01 13:30:00,135
1,1,2025-02-01 13:45:00,116
1,1,2025-02-01 14:00:00,52
1,1,2025-02-01 14:15:00,84
1,1,2025-02-01 14:30:00,99
1,1,2025-02-01 14:45:00,71
1,1,2025-02-01 15:00:00,125
1,1,2025-02-01 15:15:00,78
1,1,2025-02-01 15:30:00,116
1,1,2025-02-01 15:45:00,111
1,1,2025-02-01 16:00:00,128
1,1,2025-02-01 16:15:00,70
1,1,2025-02-01 16:30:00,73
1,1,2025-02-01 16:45:00,70
1,1,2025-02-01 17:00:00,55
1,1,2025-02-01 17:15:00,120
1,1,2025-02-01 17:30:00,77
1,1,2025-02-01 17:45:00,89
1,1,2025-02-01 18:00:00,126
1,1,2025-02-01 18:15:00,125
1,1,2025-02-01 18:30:00,134
